area,name,median_home_value,median_property_tax,principal_interest_mo,property_tax_mo,insurance_mo,piti_mo,income_needed,take_home_mo_at_that_income,payment_share_of_take_home_pct
pittsburgh,"Pittsburgh, PA",220400,1741,1167,145,64,1377,58993,3830,35.9
cleveland,"Cleveland, OH",109600,1695,580,141,32,754,32298,2268,33.2
louisville,"Louisville, KY",241700,2043,1280,170,70,1521,65172,4246,35.8
kansas-city,"Kansas City, MO",261600,2795,1385,233,76,1695,72623,4731,35.8
st-louis,"St. Louis, MO",214500,2195,1136,183,63,1381,59202,3946,35.0
salt-lake-city,"Salt Lake City, UT",620100,2847,3284,237,181,3702,158653,9387,39.4
raleigh,"Raleigh, NC",450300,3245,2385,270,131,2786,119415,7382,37.7
tampa,"Tampa, FL",494400,4031,2618,336,144,3098,132782,8502,36.4
orlando,"Orlando, FL",430200,3423,2278,285,125,2689,115238,7492,35.9
sacramento,"Sacramento, CA",515800,3898,2731,325,150,3207,137432,7906,40.6
honolulu,"Honolulu, HI",850100,2669,4502,222,248,4972,213092,11929,41.7
newark,"Newark, NJ",396600,6681,2100,557,116,2773,118828,7196,38.5
