city,name,salary,take_home_mo,fmr_studio,fmr_1bed,fmr_2bed,left_after_1bed_mo,rent_share_of_take_home_pct,salary_needed_1bed,salary_needed_2bed
honolulu,"Honolulu, HI",40000,2712,1877,2016,2642,696,74.3,112623,153653
honolulu,"Honolulu, HI",50000,3318,1877,2016,2642,1302,60.8,112623,153653
honolulu,"Honolulu, HI",60000,3922,1877,2016,2642,1906,51.4,112623,153653
honolulu,"Honolulu, HI",70000,4495,1877,2016,2642,2479,44.9,112623,153653
honolulu,"Honolulu, HI",75000,4754,1877,2016,2642,2738,42.4,112623,153653
honolulu,"Honolulu, HI",80000,5014,1877,2016,2642,2998,40.2,112623,153653
honolulu,"Honolulu, HI",90000,5537,1877,2016,2642,3521,36.4,112623,153653
honolulu,"Honolulu, HI",100000,6060,1877,2016,2642,4044,33.3,112623,153653
honolulu,"Honolulu, HI",120000,7106,1877,2016,2642,5090,28.4,112623,153653
honolulu,"Honolulu, HI",150000,8623,1877,2016,2642,6607,23.4,112623,153653
newark,"Newark, NJ",40000,2775,1612,1822,2205,953,65.7,97625,121728
newark,"Newark, NJ",50000,3395,1612,1822,2205,1573,53.7,97625,121728
newark,"Newark, NJ",60000,4015,1612,1822,2205,2193,45.4,97625,121728
newark,"Newark, NJ",70000,4606,1612,1822,2205,2784,39.6,97625,121728
newark,"Newark, NJ",75000,4874,1612,1822,2205,3052,37.4,97625,121728
newark,"Newark, NJ",80000,5140,1612,1822,2205,3318,35.4,97625,121728
newark,"Newark, NJ",90000,5669,1612,1822,2205,3847,32.1,97625,121728
newark,"Newark, NJ",100000,6199,1612,1822,2205,4377,29.4,97625,121728
newark,"Newark, NJ",120000,7258,1612,1822,2205,5436,25.1,97625,121728
newark,"Newark, NJ",150000,8800,1612,1822,2205,6978,20.7,97625,121728
